ID	adj.P.Val	P.Value	logFC	miRNA_ID
hsa-miR-6721-5p	0.00293	0.00000354	-1.2241692	hsa-miR-6721-5p
hsa-miR-19b-3p	0.00718	0.000025	2.7741221	hsa-miR-19b-3p
hsa-miR-15a-5p	0.00718	0.00002601	2.7981195	hsa-miR-15a-5p
hsa-miR-4443	0.02437	0.00011773	-1.1088696	hsa-miR-4443
hsa-miR-26b-5p	0.03046	0.00018392	2.3654516	hsa-miR-26b-5p
hsa-miR-93-5p	0.03172	0.0002619	2.3008654	hsa-miR-93-5p
hsa-miR-1268b	0.03172	0.00026815	-1.2617083	hsa-miR-1268b
hsa-miR-518b	0.05099	0.00051004	-1.2205351	hsa-miR-518b
hsa-miR-20a-5p+hsa-miR-20b-5p	0.05099	0.00055425	2.2345985	hsa-miR-20a-5p+hsa-miR-20b-5p
hsa-miR-106a-5p+hsa-miR-17-5p	0.05862	0.00071814	2.1939099	hsa-miR-106a-5p+hsa-miR-17-5p
hsa-miR-873-3p	0.05862	0.00083352	-0.7685453	hsa-miR-873-3p
hsa-miR-876-5p	0.05862	0.00084957	-1.1664072	hsa-miR-876-5p
hsa-miR-1183	0.05948	0.00093386	-0.7918038	hsa-miR-1183
hsa-miR-144-3p	0.06051	0.00102306	1.3197585	hsa-miR-144-3p
hsa-miR-29b-3p	0.06051	0.00109611	2.1577261	hsa-miR-29b-3p
hsa-miR-221-3p	0.08422	0.00162736	1.5904455	hsa-miR-221-3p
hsa-miR-1281	0.08653	0.00179338	-1.6353237	hsa-miR-1281
hsa-miR-19a-3p	0.08653	0.00188107	2.3191362	hsa-miR-19a-3p
hsa-miR-137	0.09972	0.00228818	-1.0574941	hsa-miR-137
hsa-miR-105-5p	0.10212	0.00250106	-0.9620482	hsa-miR-105-5p
hsa-miR-520f-3p	0.10212	0.00258987	-1.1728824	hsa-miR-520f-3p
hsa-miR-130a-3p	0.10539	0.00286827	1.3217755	hsa-miR-130a-3p
hsa-miR-302a-3p	0.10539	0.00292744	-1.7121793	hsa-miR-302a-3p
hsa-miR-605-5p	0.11	0.0033613	-1.1248748	hsa-miR-605-5p
hsa-miR-598-3p	0.11	0.0033747	-1.1328413	hsa-miR-598-3p
hsa-miR-15b-5p	0.11	0.00357161	2.1404983	hsa-miR-15b-5p
hsa-miR-1271-5p	0.11	0.00396523	-0.8463984	hsa-miR-1271-5p
hsa-miR-4536-3p	0.11	0.0042127	-0.8015992	hsa-miR-4536-3p
hsa-miR-188-3p	0.11	0.00423067	-0.7990647	hsa-miR-188-3p
hsa-miR-297	0.11	0.00423067	-0.7990647	hsa-miR-297
hsa-miR-142-3p	0.11	0.00433233	0.8891562	hsa-miR-142-3p
hsa-miR-515-5p	0.11	0.00437919	-1.8156957	hsa-miR-515-5p
hsa-miR-6503-3p	0.11	0.00443128	-0.8731358	hsa-miR-6503-3p
hsa-miR-494-5p	0.11	0.00451704	-1.0956006	hsa-miR-494-5p
hsa-miR-181a-5p	0.11776	0.00509234	1.2875406	hsa-miR-181a-5p
hsa-miR-548v	0.11776	0.00512016	-0.9882004	hsa-miR-548v
hsa-miR-106b-5p	0.11822	0.00551521	1.5321151	hsa-miR-106b-5p
hsa-miR-134-3p	0.11822	0.00558483	-0.9493608	hsa-miR-134-3p
hsa-miR-126-3p	0.11822	0.00581552	0.8899721	hsa-miR-126-3p
hsa-miR-487b-5p	0.11822	0.005851	-1.2161173	hsa-miR-487b-5p
hsa-miR-619-3p	0.11822	0.00585408	-0.9052103	hsa-miR-619-3p
hsa-miR-208a-3p	0.12671	0.00649735	-1.1925089	hsa-miR-208a-3p
hsa-miR-549a	0.12671	0.00658024	-0.9318097	hsa-miR-549a
hsa-miR-628-5p	0.12772	0.00777863	-1.1175288	hsa-miR-628-5p
hsa-miR-548g-3p	0.12772	0.00811096	-1.0573174	hsa-miR-548g-3p
hsa-miR-208b-3p	0.12772	0.0081694	-0.9776598	hsa-miR-208b-3p
hsa-miR-625-5p	0.12772	0.00831303	-1.5228419	hsa-miR-625-5p
hsa-miR-553	0.12772	0.00872016	-1.4416326	hsa-miR-553
hsa-miR-192-5p	0.12772	0.00879029	-0.6934846	hsa-miR-192-5p
hsa-miR-181a-2-3p	0.12772	0.00879571	-0.7400151	hsa-miR-181a-2-3p
hsa-let-7g-5p	0.12772	0.00908356	0.9435276	hsa-let-7g-5p
hsa-miR-548al	0.12772	0.00939547	-0.8442795	hsa-miR-548al
hsa-miR-148b-3p	0.12772	0.00958866	1.5310098	hsa-miR-148b-3p
hsa-miR-378d	0.12772	0.0097324	-0.9630357	hsa-miR-378d
hsa-miR-363-3p	0.12772	0.01033161	-0.8059931	hsa-miR-363-3p
hsa-miR-522-3p	0.12772	0.01069202	-0.7397268	hsa-miR-522-3p
hsa-miR-22-3p	0.12772	0.01105371	1.3031064	hsa-miR-22-3p
