ID	adj.P.Val	P.Value	logFC	miRNA_ID
hsa-miR-93-5p	0.037	0.0000446	2.59557	hsa-miR-93-5p
hsa-miR-223-3p	0.0683	0.0003138	1.29245	hsa-miR-223-3p
hsa-miR-19a-3p	0.0683	0.00039	2.54828	hsa-miR-19a-3p
hsa-miR-181a-5p	0.0683	0.0004008	1.60101	hsa-miR-181a-5p
hsa-miR-6721-5p	0.0683	0.0004122	-0.79649	hsa-miR-6721-5p
hsa-miR-518b	0.0797	0.0005777	-1.0736	hsa-miR-518b
hsa-miR-579-3p	0.085	0.0007182	-0.78533	hsa-miR-579-3p
hsa-miR-4443	0.093	0.0010412	-0.55014	hsa-miR-4443
hsa-miR-128-3p	0.093	0.0011719	-0.85107	hsa-miR-128-3p
hsa-miR-1183	0.093	0.0012028	-0.76991	hsa-miR-1183
hsa-miR-19b-3p	0.093	0.0014119	2.73176	hsa-miR-19b-3p
hsa-miR-297	0.093	0.001457	-0.73582	hsa-miR-297
hsa-miR-142-3p	0.093	0.0014599	1.0047	hsa-miR-142-3p
hsa-miR-23a-3p	0.1163	0.0029378	1.11148	hsa-miR-23a-3p
hsa-miR-15b-5p	0.1163	0.0036328	1.0185	hsa-miR-15b-5p
hsa-miR-221-3p	0.1163	0.0037403	1.5186	hsa-miR-221-3p
hsa-miR-548h-5p	0.1163	0.0038691	-0.55934	hsa-miR-548h-5p
hsa-miR-363-5p	0.1163	0.0042386	1.38251	hsa-miR-363-5p
hsa-miR-199a-3p+hsa-miR-199b-3p	0.1163	0.004317	2.07783	hsa-miR-199a-3p+hsa-miR-199b-3p
hsa-miR-4536-5p	0.1163	0.0043229	-0.80371	hsa-miR-4536-5p
hsa-miR-548v	0.1163	0.0043882	-1.28734	hsa-miR-548v
hsa-miR-582-3p	0.1163	0.0044691	-0.4819	hsa-miR-582-3p
hsa-miR-764	0.1163	0.0045767	-0.59368	hsa-miR-764
hsa-miR-1271-5p	0.1163	0.0046196	-0.56357	hsa-miR-1271-5p
hsa-miR-940	0.1163	0.0046526	-0.54565	hsa-miR-940
hsa-miR-155-5p	0.1163	0.0047381	-0.62353	hsa-miR-155-5p
hsa-miR-192-5p	0.1163	0.0049866	-0.61091	hsa-miR-192-5p
hsa-miR-452-5p	0.1163	0.0051707	-0.44945	hsa-miR-452-5p
hsa-miR-378e	0.1163	0.0051958	-0.83577	hsa-miR-378e
hsa-miR-494-3p	0.1163	0.0053846	-0.53617	hsa-miR-494-3p
hsa-miR-26b-5p	0.1163	0.0054505	1.65846	hsa-miR-26b-5p
hsa-miR-513c-3p	0.1163	0.0056707	-0.50551	hsa-miR-513c-3p
hsa-miR-3065-5p	0.1163	0.0059728	-0.50046	hsa-miR-3065-5p
hsa-miR-1288-3p	0.1163	0.0060208	-0.73222	hsa-miR-1288-3p
hsa-miR-933	0.1163	0.00634	-1.03294	hsa-miR-933
hsa-miR-143-3p	0.1163	0.0064118	-0.64331	hsa-miR-143-3p
hsa-miR-126-3p	0.1163	0.0064355	0.60759	hsa-miR-126-3p
hsa-miR-873-3p	0.1163	0.006544	-0.50636	hsa-miR-873-3p
hsa-miR-517b-3p	0.1163	0.0072417	-0.71845	hsa-miR-517b-3p
hsa-miR-1268b	0.1163	0.0073162	-1.18011	hsa-miR-1268b
hsa-miR-211-3p	0.1163	0.0073471	-0.81556	hsa-miR-211-3p
hsa-miR-378i	0.1163	0.0074558	-0.62947	hsa-miR-378i
hsa-miR-758-5p	0.1163	0.0078204	-0.75408	hsa-miR-758-5p
hsa-miR-494-5p	0.1163	0.0083426	-0.68716	hsa-miR-494-5p
hsa-miR-652-3p	0.1163	0.0085812	-0.47347	hsa-miR-652-3p
hsa-miR-1283	0.1163	0.0087091	-0.65211	hsa-miR-1283
hsa-miR-144-3p	0.1163	0.0088982	1.04288	hsa-miR-144-3p
hsa-miR-600	0.1163	0.0090877	-0.80141	hsa-miR-600
hsa-miR-628-5p	0.1163	0.0092734	-0.58782	hsa-miR-628-5p
hsa-miR-450a-1-3p	0.1163	0.0092927	-0.38416	hsa-miR-450a-1-3p
hsa-miR-512-3p	0.1163	0.0095801	-0.54346	hsa-miR-512-3p
hsa-miR-130a-3p	0.1163	0.0100609	1.88346	hsa-miR-130a-3p
hsa-miR-135a-5p	0.1163	0.0107765	-0.46179	hsa-miR-135a-5p
hsa-miR-98-3p	0.1163	0.0107765	-0.46179	hsa-miR-98-3p
hsa-miR-519b-3p	0.1163	0.0111186	-0.37809	hsa-miR-519b-3p
hsa-miR-4425	0.1163	0.0115885	-0.51483	hsa-miR-4425
hsa-miR-520a-3p	0.1163	0.0115885	-0.51483	hsa-miR-520a-3p
hsa-miR-147b	0.1163	0.0117831	-1.31182	hsa-miR-147b
hsa-miR-3140-3p	0.1163	0.0117996	-0.38655	hsa-miR-3140-3p
hsa-miR-342-5p	0.1163	0.0117996	-0.38655	hsa-miR-342-5p
hsa-miR-522-3p	0.1163	0.0121041	-0.91696	hsa-miR-522-3p
hsa-miR-924	0.1163	0.0130983	-0.38223	hsa-miR-924
hsa-miR-199a-5p	0.1163	0.0132154	1.46082	hsa-miR-199a-5p
hsa-miR-433-3p	0.1163	0.0132263	-1.13008	hsa-miR-433-3p
hsa-miR-146a-5p	0.1163	0.0134532	1.30471	hsa-miR-146a-5p
hsa-miR-23b-3p	0.1163	0.0143008	1.01671	hsa-miR-23b-3p
hsa-miR-708-5p	0.1163	0.0143042	-0.44351	hsa-miR-708-5p
hsa-miR-22-3p	0.1163	0.0151088	0.6177	hsa-miR-22-3p
hsa-miR-549a	0.1163	0.015277	-0.78054	hsa-miR-549a
hsa-miR-944	0.1163	0.0152838	-1.21456	hsa-miR-944
hsa-miR-154-5p	0.1163	0.0155599	-0.40006	hsa-miR-154-5p
hsa-miR-374b-5p	0.1163	0.0163214	1.3256	hsa-miR-374b-5p
hsa-miR-326	0.1163	0.0164948	-0.46145	hsa-miR-326
hsa-miR-648	0.1163	0.0164948	-0.46145	hsa-miR-648
hsa-let-7d-5p	0.1163	0.0167344	1.27859	hsa-let-7d-5p
hsa-miR-105-5p	0.1163	0.0170525	-0.89559	hsa-miR-105-5p
hsa-miR-1178-3p	0.1163	0.0174532	-0.3645	hsa-miR-1178-3p
hsa-miR-1185-1-3p	0.1163	0.0174532	-0.3645	hsa-miR-1185-1-3p
hsa-miR-1245b-3p	0.1163	0.0174532	-0.3645	hsa-miR-1245b-3p
hsa-miR-1247-5p	0.1163	0.0174532	-0.3645	hsa-miR-1247-5p
hsa-miR-1252-5p	0.1163	0.0174532	-0.3645	hsa-miR-1252-5p
hsa-miR-1269b	0.1163	0.0174532	-0.3645	hsa-miR-1269b
