Normalized microRNA counts            		Counts for each miRNA were tabulated and adjusted to counts per million miRNAs passing the mismatch filter.																																				
																																						
"Abbreviations: HC, healthy controls; GBM, glioblastoma; GII-III, glioma grade II-III"																																						
miRNA	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HC8	HC9	HC10	HC11	HC12	HC13	HC14	HC15	HC16	GBM1	GBM2	GBM3	GBM4	GBM5	GBM6	GBM7	GBM8	GBM9	GBM10	GBM11	GBM12	GII-III.1	GII-III.2	GII-III.3	GII-III.4	GII-III.5	GII-III.6	GII-III.7	GII-III.8	GII-III.9	GII-III.10
hsa-let-7a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7a-3p	229.9	94.9	196.7	198.3	109.9	327.8	35.1	63.1	193.2	237.6	305.2	124.5	68.8	245.1	358.1	95.9	105.3	97.9	107.3	114.6	35.5	78.6	131.6	45.8	82.6	83	75.8	27.4	104.8	65.4	60	42.7	47	131.6	146.9	72.2	73.5	55.2
hsa-let-7a-5p	59698.6	81394	46040.3	100482.5	93462.1	74518.5	20825.1	16364	49654.5	91269.2	72477.9	74119.4	90845.3	93341.6	78569.7	78295.1	100992.8	99705.8	102300.1	87594	111266.6	40009	117719.6	145236.4	68685	25820.2	49854.2	20434.9	96672.4	50636.8	25861.8	21533.6	36003.2	101336.4	88289.6	34780.1	38448.8	12660.4
hsa-let-7b-3p	31.5	28.9	16.5	23.8	22.7	68.5	2.1	3.1	9.1	8.4	47.1	24.6	11.9	35.4	38.6	10.4	13.7	33.6	23.1	24.3	11.8	0	13.7	25	0.7	27.7	14.5	0	23.8	21.8	4.1	8.5	0	27	14.7	9.5	3.6	6.5
hsa-let-7b-5p	11130.6	17069.5	8196.9	30959.1	20904.1	27478.4	16018.9	13253.8	29642.4	24282.7	15361.7	16863.5	18512.4	30757.6	12439	18193	20981.8	36762	17659.7	45599.4	31211.1	23828	48503.9	83156.9	52884.9	35049.6	24275	21958.4	19783.3	34306.2	8253.1	8548.6	35285.7	21179.2	17969.6	24324.4	61176.8	18468.9
hsa-let-7c-3p	0	0	0	0	0	1.9	0	0	0	0	0.6	0	1.4	0	0.2	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7c-5p	2093	2872.4	1675.2	2429.5	2607.3	2074.3	1411.8	1176.7	1876.2	1733.1	1295.4	1844	3976.9	1741.7	1305	1883.4	2910	4068.4	2231.1	4358.7	4329.8	1639.4	3871.7	5491.9	2448.2	2020.2	1610.8	1182.9	2683.9	2124.4	700.7	605.7	3395.3	3262.3	2410.4	1349.2	2213.7	728.5
hsa-let-7d-3p	2008.3	1234	1590.3	3469.6	1874.1	2618.1	380	560.4	1331.3	3284.5	2607.6	1996.8	1802.7	4210	2433	1581.8	1492.9	1256.8	1512	1526.8	1129.7	561.5	1344.2	1090.1	793.8	636.5	963.9	298	1510.3	729.9	540.1	179.2	896.9	1470.3	1687.6	716.4	916	496.5
hsa-let-7d-5p	9569.9	12422.5	10873.3	13573.6	11558.7	10803	9163.7	9218.1	13346.5	19718	15459	16775.2	18280.4	12173.5	16779.6	17203.9	16425.3	16089.6	15367.5	12333.3	14464	17674.5	17237.7	14220.8	18694.1	10350.2	11666	9001.1	12681.2	16189	6137.8	5758.8	12927.8	16009.2	12597.7	12903.3	14654.3	5771.2
hsa-let-7e-3p	2.4	24.8	6.6	2.7	4.5	14.8	14.7	6.2	0	8.4	10	8.7	7.4	2.4	12.4	3.4	5.5	4.4	8.3	2.3	7.1	0	1.2	0	8.7	0	6.5	9.1	4.8	0	12	0	4.3	6.5	0	1.9	0	2.4
hsa-let-7e-5p	861.4	2286.4	1481.2	2852.7	1836.8	1547.9	834.2	764.1	2471	3041.3	1736.2	2148.7	2900.5	2414.4	1305.5	1990.6	1899.4	1733.2	2276.4	1562	1427.5	1325	1671.6	1984.6	3165.3	1024	642.9	1021.7	1224.4	2124.4	578	435.1	1328.2	2118.8	1303.9	1744.5	2717.3	512.7
hsa-let-7f-1-3p	21.8	0	2.8	10.3	2.7	12.5	0	3.1	10.6	2.8	11.7	2.2	1.4	14.5	8.7	1.8	1.1	4.4	0	4.7	0	0	4.2	0	0.7	0	0	0	0	0	0	0	0	1.5	0	0	1.2	2.4
hsa-let-7f-2-3p	41.1	28.9	40.2	70.1	16.1	54.5	11.9	25.8	30.2	92.2	66.6	33.3	13.3	78	105.6	13.6	14.3	26.3	8.3	11.7	4.7	33.7	16.7	4.2	3.3	27.7	16.9	12.2	9.5	21.8	30.4	8.5	4.3	35	14.1	34.2	9.5	18.7
hsa-let-7f-5p	58065.3	63544.4	51452.8	97644.2	79738.9	58194.7	17076.7	14355	32386.5	82872.1	69432.8	69796.6	71129.3	92312.1	74778.6	64905.6	98103.6	85289.5	101813.3	76186.7	76971.3	19504.8	74176.2	75152	35859.2	15885.1	39191.6	14888.3	87372.3	25296.6	25052.7	22617.1	19586.1	96271.1	68257.5	25504.5	22240.9	10298
hsa-let-7g-3p	0	4.1	1.1	2.2	0	0	2.1	0	0	0	2.3	0	0	0	0.7	0	0.5	2.9	1.9	0	0	0	0	0	2	0	0	3	0	0	0.4	0	0	0	0.6	0	0	0
hsa-let-7g-5p	42710	40358.6	38860.1	47541.5	41778.3	34458	49193.8	40416.9	35965.4	42980.5	35557	38686.6	46581.1	45015.9	41624.9	54035	60821	62427.9	71042.2	63268.2	63299	35348.9	56530.1	64030.8	55662.3	31645.7	61428.3	50369.6	68529.2	47194.2	53352.1	55173.5	42845.1	63389.9	60953.6	56582.8	44637.1	27516
hsa-let-7i-3p	7.3	0	8.3	44.1	3.6	17.1	4.9	12.4	1.5	14	25.7	14.5	7	48.2	26.9	7.4	3.3	11.7	2.8	2.3	2.4	0	7.7	0	23.3	41.5	5.6	18.2	1.6	0	14.3	0	21.4	6.5	3.5	9.5	17.8	12.2
