miRNA,p_value,fold_change
hsa-let-7d-3p,9.21075611551505e-05,1.0601567726978405
hsa-let-7e-3p,0.013245307984810353,1.0657344896047407
hsa-let-7f-1-3p,0.00021280852858424412,2.8632662736059933
hsa-let-7f-2-3p,0.0001751594415231724,1.4383873932534628
hsa-miR-101-5p,0.0184918137371628,1.9989511485972864
hsa-miR-106b-3p,4.486427879438047e-06,-1.171948654247708
hsa-miR-1180-3p,0.010675859260865367,-1.7455279947317883
hsa-miR-1197,0.0013271097965883443,1.4671195363606413
hsa-miR-1229-3p,0.0008244679914898768,1.2750070474998696
hsa-miR-1237-3p,0.04238654910653555,2.978805777730877
hsa-miR-1249,0.04740954775872642,1.0117409020397021
hsa-miR-125a-3p,0.0032592938376944706,-1.1612029071257217
hsa-miR-126-5p,2.5459776517794535e-05,1.1620942930618035
hsa-miR-1260b,1.5301888725306412e-05,1.4845538088640988
hsa-miR-1277-3p,9.424951107623501e-05,2.638202110946331
hsa-miR-1277-5p,0.0012849012855150697,1.6357543912777603
hsa-miR-1294,0.008258009984860912,-1.149220988128959
hsa-miR-1306-3p,0.012172076218990455,-1.065125642765083
hsa-miR-130b-5p,0.00011617073562592367,1.4486605597261806
hsa-miR-132-5p,0.030779701687467586,-1.4796926439218399
hsa-miR-135a-5p,0.013051237989067016,1.2107016717557664
hsa-miR-136-3p,0.004079822865565973,1.394352638994495
hsa-miR-150-3p,0.011617257446807451,-1.0442736789826368
hsa-miR-153-3p,0.03536203134615409,3.3469568893788844
hsa-miR-154-3p,0.03908166301898769,2.156504485679991
hsa-miR-154-5p,0.04944653918619321,1.2120207372640093
hsa-miR-15a-3p,0.018179953409488813,4.061467632717395
hsa-miR-182-5p,3.270787424337255e-05,-1.1894587065032072
hsa-miR-183-5p,0.001291053024006258,-1.0492816962545028
hsa-miR-185-5p,4.9794695266062426e-05,-1.1392243020162376
hsa-miR-188-3p,0.042847631914067444,inf
hsa-miR-1908-5p,0.04307644764136808,-1.0223198326385314
hsa-miR-190a-5p,0.01004468267762532,1.4910960542590481
hsa-miR-193a-5p,0.00380874939458911,-1.6073908553731788
hsa-miR-204-3p,0.04507472344616277,2.3980310739731543
hsa-miR-204-5p,0.0021846757144371827,1.2419857339119378
hsa-miR-20b-5p,0.0006027585305007712,-1.027022142203133
hsa-miR-2115-3p,0.027950857766714757,-2.536726315068308
hsa-miR-2116-3p,0.0016952064741937208,4.169089866807768
hsa-miR-2277-3p,0.008813480408644096,inf
