miRNA,p_value,fold_change
hsa-miR-106a-5p+hsa-miR-17-5p,0.034237003961664896,-1.0141977495112044
hsa-miR-1268b,0.0449280828825513,1.5939386290707294
hsa-miR-130a-3p,0.00581985387492307,-1.2377580647435413
hsa-miR-144-3p,0.009959136155846454,-1.0452343882945512
hsa-miR-146a-5p,0.006184619361366247,-1.1043709836526987
hsa-miR-147b,0.031715239782899994,1.4544295222055499
hsa-miR-181a-5p,0.0003666770519224101,-1.674208914880566
hsa-miR-199a-3p+hsa-miR-199b-3p,0.0030354442525028506,-1.5794055196451868
hsa-miR-199a-5p,0.04291147739120452,-1.4058821503605634
hsa-miR-19a-3p,0.00017749129849069364,-1.763001016988955
hsa-miR-19b-3p,0.0009956157919410627,-1.7988790052044903
hsa-miR-208b-3p,0.04996008267145653,1.2114503304749968
hsa-miR-221-3p,0.01828430007780546,-1.336172439059972
hsa-miR-223-3p,0.0005324317528000671,-1.272812841088421
hsa-miR-23a-3p,0.005179897519445586,-1.0575801649364638
hsa-miR-23b-3p,0.01999108038782601,-1.2833738247975102
hsa-miR-24-3p,0.019183874832274267,-1.6599958924299778
hsa-miR-25-3p,0.02091819646478779,-1.2931703047025864
hsa-miR-26b-5p,0.007802129142828906,-1.46833493853831
hsa-miR-27b-3p,0.030238563486953664,-1.083793579413403
hsa-miR-3158-3p,0.04698419031495214,1.5486122653834948
hsa-miR-363-5p,0.01939246826985607,-1.214932867715837
hsa-miR-374b-5p,0.011946335791713987,-1.3124681462082035
hsa-miR-502-5p,0.008145650367350512,1.1609892989015294
hsa-miR-518b,0.000582360536784065,1.015170634673845
hsa-miR-522-3p,0.04185579308197034,1.2059907400772076
hsa-miR-548n,0.04378344165252127,1.1253961268196104
hsa-miR-548v,0.006516264217326864,1.382409951733111
hsa-miR-93-5p,0.00033451564258638343,-2.601288116167605
hsa-miR-933,0.0396900928715403,1.3360159142567756
hsa-miR-944,0.012267062990361283,1.3426870542972473
